Date,Location,City,State,Deaths,Injuries,County,GOV,Description
9/27/2006,"Bailey, Colorado",Bailey, Colorado,2,0,Park County,R,"Platte Canyon High School hostage crisis: 53-year-old drifter, Duane Roger Morrison, walked into Platte Canyon High School and took six girls hostage. He sexually assaulted them. As a SWAT team stormed the classroom, he killed 16-year-old Emily Keyes, then took his own life.[419]"
9/29/2006,"Cazenovia, Wisconsin",Cazenovia, Wisconsin,1,0,Richland County,R,"Weston High School shooting: At around 8 a.m., 15-year-old freshman, Eric Hainstock, entered Weston High School. He aimed a 20-gauge shotgun at social studies teacher, Chuck Keller, before it was wrestled from him by school custodian, Dave Thompson. Hainstock then shot 49-year-old high school principal, John Alfred Klang, with a .22 caliber revolver. Klang died later that afternoon.[420][421] Hainstock was charged and convicted of murder, and is serving a life sentence. He will be eligible for parole in 2037.[279][422]"
10/2/2006,"Nickel Mines, Pennsylvania",Nickel Mines, Pennsylvania,6,3,Lancaster County,R,"West Nickel Mines School shooting: 32-year-old milk truck driver, Charles Carl Roberts IV, killed five Amish girls and wounded five others before killing himself in an Amish school in the hamlet of Nickel Mines, in Bart Township, Lancaster County.[423]"
10/9/2006,"Joplin, Missouri",Joplin, Missouri,0,0,Jasper County,R,"13-year-old student Thomas White fired one shot from a Mac-90 rifle at a hallway ceiling at Memorial Middle School. The gunshot struck a water pipe, and nobody was injured. He also tried repeatedly to shoot principal Stephen Gilbreth at near-point-blank range as Gilbreth ushered him out of the school. Joplin police say the attempt was foiled by an improperly seated ammunition clip in the rifle. The principal was not injured. White was tried as an adult on charges of assault and firearms possession, and in 2009 he was sentenced to ten years of prison.[424]"
1/3/2007,"Tacoma, Washington",Tacoma, Washington,1,0,Pierce County,D,"18-year-old student Douglas S. Chanthabouly, killed 17-year-old Samnang Kok, in the hallways of Henry Foss High School following a personal disagreement. In 2009, Chanthabouly was sentenced to 23 years in prison on a charge of second-degree murder.[425]"
3/7/2007,"Compton, California",Compton, California,0,1,Los Angeles County,D,"During an argument with several non-students and students, a student was shot in the elbow and wounded in the eating area at Centennial High School. The shooting occurred an hour after classes were dismissed, and students in after-school activities were sent home.[426]"
4/16/2007,"Blacksburg, Virginia",Blacksburg, Virginia,33,23,Montgomery County,R,"Virginia Tech shooting: 23-year-old student, Seung-Hui Cho, killed thirty-two students and faculty members at Virginia Tech, and wounded another seventeen students and faculty members in two separate attacks before committing suicide. The incident is the third-deadliest mass shooting by a single gunman in modern U.S. history."
10/10/2007,"Cleveland, Ohio",Cleveland, Ohio,1,4,Cuyahoga County,D,"SuccessTech Academy shooting: Asa H. Coon, a 14-year-old suspended student, returned to SuccessTech Academy, where he fired shots at people inside the school building, wounding two teachers and two students. He shot himself in the head, committing suicide.[339][427]"
11/6/2007,"Miami Gardens, Florida",Miami Gardens, Florida,0,1,Dade,D,"43-year-old 11th grade algebra teacher, Sergio Miranda, was shot by 19-year-old Patrick Lively, outside Miami Carol City Senior High School during a robbery but was expected to survive.[428][429] In 2011, Lively received a life sentence.[430]"
2/4/2008,"Memphis, Tennessee",Memphis, Tennessee,0,1,Shelby,D,"At Hamilton High School, a student shot a 16-year-old student in the leg during a classroom argument over rap music. The victim's injury was not life-threatening.[431]"
2/8/2008,"Baton Rouge, Louisiana",Baton Rouge, Louisiana,3,0,East Baton Rouge Parish,,"Latina Williams, a 23-year-old nursing student at Louisiana Technical College killed two classmates and herself in a second floor classroom.[432]"
2/11/2008,"Memphis, Tennessee",Memphis, Tennessee,0,1,Shelby,D,"Following a feud that started off campus earlier in the week, a 19-year-old senior was shot by a 17-year-old sophomore during a gym class held in the cafeteria with about 75 other students at Mitchell High School, before handing the gun to a coach making no attempt to flee. The victim suffered at least two gunshot wounds and was in critical condition, the suspected shooter was in custody. ""He walked up to him, shot him, and made a statement to the coach that 'It's over now,' "", said principal, Daniel Ware.[433]"
2/12/2008,"Oxnard, California",Oxnard, California,1,0,Ventura County,R,"Murder of Larry King: 14-year-old Brandon McInerney, shot 15-year-old Lawrence ""Larry"" King, twice in the head in the computer laboratory of E.O. Green Junior High School. McInerney was apprehended in a nearby neighborhood. King, who was openly homosexual, died two days later. McInerney was initially charged with a hate crime, but that charge was dropped. McInerney pleaded guilty to second-degree murder and was sentenced to 21 years in prison.[434]"
2/14/2008,"DeKalb, Illinois",DeKalb, Illinois,6,21,DeKalb County,R,"Northern Illinois University shooting: 27-year-old Steven Kazmierczak, shot multiple people with a shotgun in a classroom of Northern Illinois University, killing five and injuring 21, before taking his own life. Kazmierczak was not enrolled at the university, but had attended in the years prior to the attack.[435]"
8/14/2008,"Federal Way, Washington",Federal Way, Washington,1,0,King County,D,"26-year-old Omero Mendez was waiting at the Lakota Middle School campus to pick up his girlfriend's son. He was confronted by 16-year-old Luis F. Cosgaya-Alvarez and two of his friends, driving in an SUV. Cosgaya-Alvarez flashed gang signs at Mendez, and shot him once in the head. Mendez later died of his injuries. Cosgaya-Alvarez was arrested a few days later in Seattle and was charged with murder. Cosgaya-Alvarez pleaded guilty to murder and weapon enhancements, and was sentenced to eighteen years in prison.[436]"
8/21/2008,"Knoxville, Tennessee",Knoxville, Tennessee,1,0,Knox County,R,"At Central High School, 15-year-old Jamar Siler killed 15-year-old Ryan McDonald. In 2011, Siler was sentenced to thirty years in prison after pleading guilty to murder in a plea agreement.[226]"
9/2/2008,"Willoughby, Ohio",Willoughby, Ohio,0,0,Lake County,R,"A 15-year-old student brought a handgun into South High School, and shot two rounds, one into the ceiling and one shattering a trophy case. The student then put the gun to his head. Then Assistant Principal Jeff Lyons talked the student out of doing any harm."
10/16/2008,"Detroit, Michigan",Detroit, Michigan,1,3,Wayne County,D,"16-year-old Christopher Walker, was killed, and three other teenagers were seriously wounded during a drive-by shooting near Henry Ford High School, soon after classes let out. Three teenagers were arrested and charged in connection with the shooting. The shooter, 15-year-old William Morton, was sentenced to life without parole, and Devon Bell was sentenced to forty-two years of prison.[437]"
10/26/2008,"Conway, Arkansas",Conway, Arkansas,2,1,Faulkner County,R,"University of Central Arkansas shootings: Four young men fatally shot two students, 18-year-old Ryan Henderson, and 19-year-old Chavares Block, and wounded a 19-year-old campus visitor in the leg, outside the Arkansas Hall dormitory of University of Central Arkansas.[438]"
11/13/2008,"Fort Lauderdale, Florida",Fort Lauderdale, Florida,1,0,Broward County,D,"15-year-old Amanda Collette, was killed in the hallway at Dillard High School. The shooter, 15-year-old Teah Wimberly, was sentenced to twenty-five years to life on a first-degree murder charge.[439]"
1/9/2009,"Chicago, Illinois",Chicago, Illinois,0,5,Cook County,D,"After attendees were leaving a basketball game at Dunbar High School, a truck pulled over and someone inside fired shots at the crowd, wounding five people, three critically. 18-year-old Georgio Dukes, was arrested and charged a week later with five counts of felony aggravated battery with a firearm. Police believe that the attack was gang-related.[440]"
4/26/2009,"Hampton, Virginia",Hampton, Virginia,0,3,None,,"18-year-old Odane Greg Maye, a former student of Hampton University, followed a 43-year-old pizza delivery man into his former dormitory. Armed with three guns, Maye wounded the delivery man, then the dorm monitor. Lastly, Maye shot himself in a suicide attempt. He survived and was convicted of two charges of malicious wounding, two counts of using a gun in a felony; burglary; and shooting in an occupied building. He was sentenced to fourteen years of prison in November 2009, and was ordered by a judge to pay more than $62,000 in restitution to his victims for lost wages.[441]"
5/18/2009,"Cambridge, Massachusetts",Cambridge, Massachusetts,1,0,Middlesex County,D,"20-year-old Jabrai Copney, 23-year-old Jason Aquino, and 19-year-old Blayn Jiggetts, of New York City, invited 21-year-old Justin Cosby, of Cambridge, into a Harvard College dormitory. After trying to rob him of a pound of marijuana, they shot him. Copney turned himself in four days later. Copney was convicted of murder. His partners pleaded guilty to armed robbery and manslaughter. His girlfriend, 21-year-old Brittany Smith, pleaded guilty to accessory after the fact, firearm possession, and misleading a grand jury.[442]"
5/18/2009,"Larose, Louisiana",Larose, Louisiana,1,0,Lafourche Parish,,"15-year-old Larose-Cut Off Middle School student, Justin Doucet, carried his backpack to a restroom, where he put on camouflage clothes and took out a semi-automatic handgun before storming into a nearby classroom. He attempted to shoot a teacher, Jessica Plaisance, but the gun did not fire. He returned to the restroom and shot himself in the head, dying a week later of his wounds.[443][444]"
6/16/2009,"San Francisco, California",San Francisco, California,0,3,San Francisco,D,"After students were being let out of International Studies Academy on the first day of summer school classes, a man left a car and opened fire, wounding three people, including a 17-year-old female student. An 18-year-old man was arrested for being an accessory in the crime.[445]"
9/3/2009,"San Bruno, California",San Bruno, California,0,1,San Mateo County,D,"A 20-year-old student was wounded in the parking lot of Skyline College after an argument between him and other men. The college campus was placed on lockdown. Three San Francisco residents, 18-year-old Germaine B. Benjamin, 20-year-old Dimaryea J. McGhee, and 18-year-old Jacori W. Bender, were each arrested and charged with felony firearm offenses.[446]"
10/16/2009,"Conway, South Carolina",Conway, South Carolina,1,0,Horry County,R,"16-year-old student, Trevor Varinecz was killed by a school resource officer after allegedly stabbing the officer.[279][447]"
2/5/2010,"Madison, Alabama",Madison, Alabama,1,0,Madison County,R,"14-year-old student, Hammad Memon, killed 14-year-old Todd Brown at Discovery Middle School as classes were changing. The shooting was possibly related to gang activitiy. In May 2013, Memon pleaded guilty to the murder and was sentenced to thirty years of prison. After Memon is released from prison, he is likely to be deported to his native Pakistan.[449]"
2/12/2010,"Huntsville, Alabama",Huntsville, Alabama,3,3,Madison County,R,"2010 University of Alabama in Huntsville shooting: 44-year-old biology professor, Amy Bishop, killed the chairman of the biology department, 52-year-old Gopi K. Podila, and biology professors, 50-year-old, Maria Ragland Davis and 52-year-old Adriel D. Johnson. She also wounded biology professors, Luis Rogelio Cruz-Vera and Joseph G. Leahy, and staff assistant, Stephanie Monticciolo.[447]"
2/19/2010,"DeKalb, Illinois",DeKalb, Illinois,0,1,DeKalb County,D,"Less than a week after Northern Illinois University solemnly marked the second anniversary of a mass shooting on campus that claimed the lives of five students, the DeKalb school was the scene of further gun violence. 24-year-old NIU student, Brian Mulder, refused entry to 22-year-old Zachary R. Isaacman, when he had tried to follow a female resident into the Stevenson Residence Hall North, where they were living, because he was not a resident. Moments later, while outside the dorm smoking with a friend, Mulder was shot by Isaacman, with a handgun in the leg above the knee. Isaacman tried to flee, but was caught by police within minutes.[450]"
2/23/2010,"Littleton, Colorado",Littleton, Colorado,0,2,Arapahoe County,D,"At Deer Creek Middle School, 32-year-old Bruco Strong Eagle Eastwood opened fire from a rifle in a parking lot, and wounded two eighth-graders Reagan Webber and Matt Thieu, before being restrained by 57-year-old Math teacher, David Benke, and held until his arrest. The boy's wounds were critical for the four days following the shooting.[451] In October 2011, Eastwood was found not guilty by reason of insanity.[452][447]"
3/9/2010,"Columbus, Ohio",Columbus, Ohio,1,1,Franklin County,D,"51-year-old Ohio State University custodian, Nathaniel Brown, killed a co-worker and wounded another.[447]"
9/8/2010,"Detroit, Michigan",Detroit, Michigan,0,2,Wayne County,D,"Two students were wounded in front of Mumford High School by 17-year-old Steven Jamal Hare. He was tried as an adult and charged with assault with intent to kill. In 2012, Hare was sentenced to 27 years in prison.[453]"
9/28/2010,"Austin, Texas",Austin, Texas,1,1,Travis County,D,"A 19-year-old sophomore student Colton Tooley, wielding an AK-47 and wearing a ski mask, opened fire and then killed himself in a University of Texas library[454]"
10/1/2010,"Salinas, California",Salinas, California,1,0,Monterey County,D,15-year-old student Jose Daniel Cisneros was killed after being shot several times on an athletic field at Alisal High School while walking to school. Police said that the shooting was gang-related.[455]
10/8/2010,"Carlsbad, California",Carlsbad, California,0,2,San Diego County,D,"41-year-old Brendan O'Rourke climbed over a fence and opened fire with a handgun in a playground of Kelly Elementary School, which had 230 students; two second-grade female students were grazed in the arms before O'Rourke was subdued by a construction worker. He was found guilty of seven counts of attempted murder and was sentenced to 189 years to life in prison.[456]"
11/29/2010,"Marinette, Wisconsin",Marinette, Wisconsin,1,0,Marinette County,D,"15-year-old Samuel Hengel, took 23 students and a teacher hostage inside a classroom of Marinette High School for five hours. He had stormed into the class, firing with a handgun at a movie projector. Police persuaded Hengel to release the hostages. After officers entered the building, Hengel shot himself in the head. He died the next day.[457]"
12/6/2010,"Aurora, Colorado",Aurora, Colorado,0,1,Arapahoe County,D,"In a gang-related attack outside Aurora Central High School, a 17-year-old girl was paralysed. She was one of a group of students outside the school. 20-year-old Luis Enrique Guzman-Rincon, had fired shots from a car trying to hit gang rivals. Guzman-Ricon was sentenced to thirty-five years in prison.[458]"
1/5/2011,"Omaha, Nebraska",Omaha, Nebraska,2,2,Douglas County,D,"At Millard South High School, 18-year-old student, Robert Butler Jr., killed assistant principal Dr. Vicki Kaspar and wounded principal Curtis Case before opening fire at police in the front office area, causing the school nurse to be wounded by gunshot debris. Butler then drove to a parking lot and shot himself as police cornered him.[459]"
3/25/2011,"Martinsville, Indiana",Martinsville, Indiana,0,1,Morgan,R,"Michael Phelps, a 15-year-old suspended student, returned to Martinsville West Middle School with a handgun. In the entrance of the school, Phelps shot 15-year-old Chance Jackson twice in the abdomen, critically wounding him. Phelps fled the school and dropped the handgun; he was arrested shortly after. Jackson had to undergo surgery three times to save his life; he suffers from post-traumatic stress disorder. Phelps was convicted of attempted murder in August 2011, and was sentenced to thirty years in prison and five years of probation.[460]"
3/31/2011,"Houston, Texas",Houston, Texas,1,5,Harris County,D,"Multiple gunmen opened fire during a powder puff football game at Worthing High School. One man, an 18-year-old former student named Tremaine De Ante’ Paul, died. Five other people were injured.[461]"
5/23/2011,"Pearl City, Hawaii",Pearl City, Hawaii,0,1,Honolulu County,D,"A 14-year-old male student is accused of firing a handgun on the campus of Highlands Intermediate School, wounding one student. The gunman was arrested on suspicion of attempted murder. Two other suspects were arrested in connection with the shooting.[462]"
10/24/2011,"Fayetteville, North Carolina",Fayetteville, North Carolina,0,1,Cumberland,D,"Cape Fear High School shooting: 15-year-old Catilyn Abercrombie, was shot in the neck with a rifle by fellow student, 15-year-old Charles Underwood, at Cape Fear High School. She was hospitalized for two months in a serious condition. Underwood was arrested and charged with attempted murder. He was convicted of attempted first-degree murder and sentenced to fifteen years in prison.[463]"
12/8/2011,"Blacksburg, Virginia",Blacksburg, Virginia,2,0,Montgomery County,D,"22-year-old, Ross Truett Ashley, part-time business student at Radford University, killed a police officer engaged in an unrelated traffic stop on the campus of Virginia Tech, he then committed suicide in a nearby parking lot.[464]"
12/9/2011,"Edinburg, Texas",Edinburg, Texas,0,2,Hidalgo County,D,"Two students were shot after school at Harwell Middle School in Edinburg, Texas while trying out for their school's basketball team. The shooting allegedly was done by an adult off campus, who was shooting at a target range.[465]"
1/10/2012,"Houston, Texas",Houston, Texas,0,1,Harris County,D,"A student opened fire with a handgun at North Forest High School, wounding another student. The shooter said that he had been confronted by three students who had been bullying him and he shot in self-defense. He hit a 16-year-old bystander in the leg. The 18-year-old suspect was charged with aggravated assault with a deadly weapon.[466]"
2/27/2012,"Chardon, Ohio",Chardon, Ohio,3,3,Geauga County,R,"Chardon High School shooting: 17-year-old Thomas ""T. J."" Lane, took a semi-automatic handgun and a knife to Chardon High School, where he fired ten shots at a group of students sitting in the cafeteria. He killed three boys and wounded three other students. One 16-year-old died immediately, two others died the following day. Lane was arrested early the next morning while standing near his car.[467] He was charged as an adult with murder, attempted murder, and firearms offenses. In March 2013, he was convicted and sentenced to three life sentences without the possibility of parole.[468]"
3/6/2012,"Jacksonville, Florida",Jacksonville, Florida,2,0,Duval County,R,"A murder-suicide resulted in two deaths on the campus of the Episcopal School of Jacksonville. Shane Schumerth, a Spanish teacher who had been fired that morning returned to the campus in the early afternoon via a pedestrian entrance, armed with an AK-47 which he concealed in a guitar case. He entered the office of the Head of School, Dale Regan, and fired multiple shots, fatally wounding her. Schumerth then killed himself, in the office.[469]"
4/2/2012,"Oakland, California",Oakland, California,7,3,Alameda County,D,"Oikos University shooting: 43-year-old One L. Goh, was accused of shooting dead seven students with a handgun and wounding three others at Oikos University, a Christian college. He fled the scene, stealing a victim's car, and was apprehended hours later nearby. Goh was charged with seven counts of murder. In January 2013, Goh was determined to be mentally unfit for trial and committed for treatment.[470]"
8/16/2012,"Memphis, Tennessee",Memphis, Tennessee,0,2,Shelby,D,Two Hamilton High School students were wounded in the parking lot of the school. The attack was believed to be gang-related.[471]
8/27/2012,"Perry Hall, Maryland",Perry Hall, Maryland,0,1,Baltimore County,D,"15-year-old Robert Gladden, fired two shots with a shotgun inside the cafeteria at Perry Hall School. He hit a 17-year-old senior in the lower back, causing critical wounds. The youth has Down syndrome. Gladden was subdued by two school faculty members, and arrested. In February 2013, he was sentenced to thirty-five years in prison on attempted murder charges.[472]"
9/7/2012,"Normal, Illinois",Normal, Illinois,0,0,McLean County,R,"A 14-year-old student fired multiple gunshots in a classroom ceiling at Normal Community High School, and was tackled by a teacher. Nobody was injured. The student was arrested and charged with sixteen felony counts.[473][474]"
10/6/2012,"Mobile, Alabama",Mobile, Alabama,1,0,Mobile County,R,"A University of South Alabama student, Gil Collar, was fatally shot by a campus police officer while having a medical emergency. Collar, 18, had ingested a legal lab chemical. It is unknown if he had done so voluntarily. Acting erratically, he approached the police station while naked and battered. Officer Trevis Austin, equipped with pepper spray and a baton, felt his life was threatened by the unarmed 140 lb teen. Video shows that the officer shot Collar before the student approached within five feet of him.[475] Austin was cleared of any wrongdoing by the university.[476]"
10/19/2012,"Chicago, Illinois",Chicago, Illinois,1,0,Cook County,D,"18-year-old Banner Academy South student, Terrance Wright, was killed during an attempted robbery. Wright was approached by five would-be robbers as he left the school about 3:40 p.m.. He was shot in the chest as he fought back when one assailant was going through his pockets. Wright had been picked on at his previous high school because he was gay, which led him to transfer to Banner.[477]"
10/31/2012,"Los Angeles, California",Los Angeles, California,0,4,Los Angeles County,D,"At a Halloween party on the University of Southern California campus, an argument escalated and 20-year-old Brandon Spencer, used a handgun to shoot rival gang member, Geno Hall, seven times, critically wounding him. Spencer wounded three other people, none were students at USC, they were hospitalized with less serious injuries. Spencer was arrested just minutes after the shooting, which took place outside USC’s Grand Ballroom at around 11:30 p.m.[478] In April 2014, he was convicted of attempted murder and sentenced to forty years to life in prison.[479]"
12/14/2012,"Newtown, Connecticut",Newtown, Connecticut,28,2,Fairfield County,D,"Sandy Hook Elementary School shooting: 20-year-old Adam Lanza, killed twenty-six people and himself. He first killed his mother at their shared home before taking her guns and driving to the school. Lanza brought four guns with him. He killed twenty first-grade children aged six and seven during the attack at school, along with six adults, including four teachers, the principal, and the school psychologist. Two other persons were injured. Lanza then killed himself as police arrived at the school.[467][480]"
41281,"Fort Myers, Florida",Fort Myers, Florida,1,0,Lee County,R,"Shots were fired at Apostolic Revival Center Christian School, leaving 27-year-old Kristopher Smith dead in what was believed to be a retaliation killing, possibly for his talking with police about a previous incident.[481][482]"
1/10/2013,"Taft, California",Taft, California,0,2,Kern County,R,"16-year-old student, Bryan Oliver, entered a science classroom of Taft Union High School with a shotgun and opened fire, critically wounding 16-year-old student Bowe Cleveland. He shot at but missed another student. The classroom teacher Ryan Heber convinced Oliver, to drop his weapon. He was later arrested. On January 14, he was charged with two counts of attempted murder and assault with a firearm.[483] He was convicted and accepted a plea deal with a sentence of 27 years and 4 months.[484] According to the attorney[485] for the Cleveland family, they were not satisfied with the sentence."
1/12/2013,"Detroit, Michigan",Detroit, Michigan,0,1,Wayne County,D,A 16-year-old Osborn High School student is wounded after a basketball game.[483]
1/15/2013,"St. Louis, Missouri",St. Louis, Missouri,0,2,St. Louis County,D,"A 34-year-old gunman wounded an administrator in his office on the fourth floor of Stevens Institute of Business and Arts. The suspected gunman, Sean Johnson, a part-time student, wounded himself in a stairwell. Both the administrator and Johnson were hospitalized in stable conditions. Johnson was charged with three felony charges, including assault.[486][487]"
1/15/2013,"Hazard, Kentucky",Hazard, Kentucky,3,0,Perry County,R,"Two people were killed and a third person was wounded at the parking lot of Hazard Community and Technical College.[488] The third victim, 12-year-old Taylor Cornett, died from her wounds the next day.[489] 21-year-old Dalton Lee Stidham, was arrested and charged with three counts of murder."
1/16/2013,"Chicago, Illinois",Chicago, Illinois,1,0,Cook County,D,"A 17-year-old boy, Tyrone Lawson, was killed in a parking lot of Chicago State University. The shooting happened after high school basketball games held on the campus, where Lawson had been a spectator. Police arrested two brothers, Michael McNabb, 33, and Brian Hewlett (under the alias Stephen Gilbert), 30 after the shooting and recovered a weapon.[483][490][491]"
1/22/2013,"Houston, Texas",Houston, Texas,0,3,Harris County,D,"Lone Star College–North Harris shooting: Outside Lone Star College–North Harris, two men got into an argument. One wounded the other. He also wounded a maintenance man, and accidentally shot himself in the leg. The shooter fled into the woods and was arrested hours later. The charges against the initial suspect were dropped and another man was arrested.[492]"
1/31/2013,"Atlanta, Georgia",Atlanta, Georgia,0,2,Fulton County,D,"A 14-year-old male student was wounded at Price Middle School. The gunman, a 15-year-old student, was believed to be arguing with the other student before using a handgun to shoot him. A teacher was also wounded. Afterward, the gunman was disarmed by a school resource officer and arrested; police charged him with aggravated assault.[494][495]"
1/31/2013,"Phoenix, Arizona",Phoenix, Arizona,0,0,Maricopa County,R,"An argument between two rival gangs escalated to what police described as a ""gun battle"" at Cesar Chavez High School. Approximately fifteen shots were fired in the vicinity of people waiting to get into a scheduled boys' basketball game. No one was injured.[493]"
3/18/2013,"Orlando, Florida",Orlando, Florida,1,0,Orange County,D,"At the University of Central Florida, 30-year-old student James Oliver Seevakumaran pulled a fire alarm at the Tower One dormitory, to attract a crowd. He pointed a handgun at his roommate and threatened to shoot him in their room; he released the roommate, who ran out and called 9-1-1. Seevakumaran then fatally shot himself in the head. Authorities found an assault weapon, a couple hundred rounds of ammunition and four homemade bombs inside his backpack.[496]"
4/12/2013,"Dublin, Virginia",Dublin, Virginia,0,2,Pulaski County,R,"New River Community College shooting incident: Two women were wounded during a shooting at the campus of New River Community College. 18-year-old Neil Allen MacInnis, was taken into custody. In June 2014, he was sentenced to 38 years in prison.[497]"
4/16/2013,"Grambling, Louisiana",Grambling, Louisiana,0,3,Lincoln Parish,,Three students were injured on the campus of Grambling State University.[498]
4/18/2013,"Cambridge, Massachusetts",Cambridge, Massachusetts,2,1,Middlesex County,D,"At the Massachusetts Institute of Technology, near Building 32, the Ray and Maria Stata Center, a campus police officer was shot multiple times and killed. The shooting was believed to be perpetrated by the suspects of the Boston Marathon bombings three days prior to this shooting. The two suspects were brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev. About three hours after the MIT shooting, Tamerlan died in a gunfight with police in Watertown, Massachusetts. Another officer was seriously wounded. Dzhokhar was arrested 18 hours afterward in Watertown, and was hospitalized in critical condition from a gunshot wound to the neck.[499]"
5/14/2013,"Birmingham, Alabama",Birmingham, Alabama,0,0,Jefferson County,D,"Allegedly responding to a student fight, a mother of a student fired a weapon on the campus of Ossie Ware Mitchell Middle School. No one was injured.[500]"
6/7/2013,"Santa Monica, California",Santa Monica, California,6,4,Los Angeles County,D,"2013 Santa Monica shooting: 23-year-old John Zawahri, began a killing spree at his home. After killing his 55-year-old father, Samir ""Sam"" Zawahri, and 25-year-old brother, Chris Zawahri, he set the house ablaze. Dressed all in black with body armor and wielding an AR-15-type semi-automatic rifle, Zawahri carjacked 41-year-old Laura Siska, shooting 50-year-old Debra Fine, as she attempted to intervene, before forcing Siska to drive to Santa Monica College. Upon arriving on the college campus, Zawahri began shooting at passing vehicles, including a police car and a city bus, leaving three people with minor injuries. Zawahri next targeted a Ford Explorer, killing the driver, 68-year-old campus groundskeeper, Carlos Navarro Franco, and fatally wounding the passenger, his 26-year-old daughter Marcela Diaz-Franco, a student at the college, who died two days later. 68-year-old Margarita Gomez, who was collecting cans outside the library, died after being shot in the abdomen and chest. Zawahri opened fire on students who were trying to run away. It ended at the college library where he opened fire on students studying for finals, before being fatally wounded in an exchange of gunfire with responding police officers.[501]"
8/20/2013,"Decatur, Georgia",Decatur, Georgia,0,0,DeKalb County,D,"Armed with an automatic rifle, 21-year-old Michael Brandon Hill fired six shots inside the front office of Ronald E. McNair Discovery Learning Academy. He barricaded himself in the office, where police returned fire. Nobody was injured. Children were evacuated. After talking with school bookkeeper, Antoinette Tuff in the front office, he was persuaded to surrender before anyone was hurt. Hill was arrested and charged.[502][503]"
8/23/2013,"Sardis, Mississippi",Sardis, Mississippi,1,2,Panola,D,"15-year-old student, Roderick Bobo, was killed during a football game at North Panola High School in what was termed a gang-related shooting. Two others were injured in the shooting. Three men were charged as being responsible for the crime.[504]"
8/30/2013,"Winston-Salem, North Carolina",Winston-Salem, North Carolina,0,1,Forsyth County,D,"A 15-year-old male student was shot at Carver High School, at 2:30 p.m.. He was hospitalized with minor injuries.[502] An 18-year-old male student was apprehended without further incident. The suspected gunman is charged with assault with a deadly weapon inflicting serious injury, carrying a concealed gun, possessing and discharging a firearm, and carrying a firearm onto educational property. The shooting was believed related to a dispute between the suspect and the victim.[505]"
10/4/2013,"Pine Hills, Florida",Pine Hills, Florida,0,2,Orange County,D,"A 16-year-old student was shot in the hip outside Agape Christian Academy after a fight broke out at 2 p.m.. An innocent bystander was hit by a stray bullet or shrapnel. The two victims were treated for minor injuries. The suspected shooter reportedly fled in a car with several other males, and was not caught.[506]"
10/21/2013,"Sparks, Nevada",Sparks, Nevada,2,2,Washoe County,D,"12-year-old seventh-grade student Jose Reyes opened fire with a handgun at the basketball courts of Sparks Middle School, injuring one student in the shoulder. Michael Landsberry, a teacher and veteran, tried to intervene and was killed by Reyes. Reyes also wounded a student trying to help the teacher. Reyes then committed suicide by shooting himself in the head.[467][502] The shooting happened before classes, and the school was evacuated and was closed for the week.[507]"
11/2/2013,"Greensboro, North Carolina",Greensboro, North Carolina,0,1,Guilford,D,A 21-year-old student was wounded at North Carolina A&T State University. The victim was hospitalized for serious but non-life-threatening injuries. The university was temporarily locked down that night. No suspects are in custody.[508]
11/3/2013,"Lithonia, Georgia",Lithonia, Georgia,0,2,DeKalb County,D,A Stephenson High School student and a janitor were shot in an apparent confrontation between football team members and a group of teens who were not attending the school. Both were innocent bystanders.[509]
11/13/2013,"Pittsburgh, Pennsylvania",Pittsburgh, Pennsylvania,0,3,Allegheny County,D,"After classes ended, at least one gunman came out of the woods and opened fire on three students as they were walking to their cars at Brashear High School. One student was grazed in the head, another was struck in the neck and shoulder, and a third was hit in the leg and foot. Six people were taken into custody. The shooting is believed to be drug-related.[510]"
12/4/2013,"Winter Garden, Florida",Winter Garden, Florida,0,1,Orange County,D,"A 15-year-old student was wounded by a 17-year-old student near a soccer field on the campus of West Orange High School. The shooting occurred after a fight broke out between the two students. The 17-year-old suspected shooter was taken into custody several miles away from the school, and is charged with attempted murder, aggravated battery with a firearm, possession of a firearm by a minor and possession of a firearm on school grounds. In October 2014, the shooter was sentenced to twenty-five years in prison.[511]"
12/13/2013,"Centennial, Colorado",Centennial, Colorado,2,0,Arapahoe County,D,"18-year-old Karl Pierson, shot 17-year-old student Claire Davis in the head, fatally injuring her, in a hallway in Arapahoe High School. Pierson then took his own life.[467] Pierson was armed with a shotgun, three Molotov cocktails, and a machete. His intention was to shoot the librarian who had disciplined him. Claire Davis died from her injuries on December 21, 2013.[512]"
12/19/2013,"Fresno, California",Fresno, California,0,1,Fresno County,D,"Four teens (16, 16, 16 and 17 years old) entered Edison High School in what was believed as a gang-initiation process. After accosting a 62-year-old woman about a mile away from school grounds, they found an athletic trainer who taught at Edison High and shot him several times in the leg and stomach.[513]"
1/9/2014,"Jackson, Tennessee",Jackson, Tennessee,0,1,Madison County,R,A 16-year-old student was charged with bringing a gun to school at Liberty Technology Magnet High School and shooting a classmate in the thigh. The incident occurred outside the front of the school.[514]
1/13/2014,"New Haven, Connecticut",New Haven, Connecticut,0,1,New Haven County,D,"A 14-year-old boy was shot outside of a basketball game at the Hillhouse High School athletic facility, suffering wounds in his hand and leg.[cite]"
